,Unnamed: 0,ticker,date,type,market_cap,d1dv,d2dv,d3dv,d1_i,d1_ah,d1_all,d2_i,d2_ah,d3_i,working_capital,1d_all_z,d1_all_z
105,105,MRK,2018-07-03,CS,153350056354.0,296998554.8255,558981209.5847,506987052.5659,-0.000494,0.011366,0.010866,0.003909,0.002596,0.006472,28824500000.0,1.2074501377925528,1.8270790015709506
106,106,LCI,2018-07-21,CS,534806277.0,9568389.67,5924854.8088,5544479.5945,-0.00813,0.008197,0.0,0.00813,-0.008065,0.00813,4264340000.0,0.33393900043515473,0.29190651054584504
107,107,INSY,2018-07-28,CS,,4374869.5711,2648990.3778,2200412.6496,-0.019259,-0.009063,-0.028148,0.015244,-0.004505,-0.022624,109540000.0,-0.3457604233598907,-0.3630391165646354
108,108,DRRX,2018-07-28,CS,320783193.0,5548546.7935,1011920.5356000001,745650.6975,-0.03125,0.0,-0.03125,-0.051613,0.013605,0.006711,538007000.0,-0.5906045474490672,-0.7242224920831252
109,109,PTIE,2018-08-07,CS,,946894.9715999999,370895.9901,158265.06999999998,0.0,-0.008,-0.008,-0.064516,-0.043103,0.072072,10202100000.0,0.23647594574956218,0.19771393620151434
110,110,VRTX,2018-08-07,CS,45132261514.0,194397595.3944,159123577.96400002,147442855.695,0.008923,-0.001465,0.007446,-0.011001,0.00251,-0.003926,862000.0,0.6031769957187006,0.5061194504333117
111,111,REGN,2018-08-11,CS,39659714178.0,215662013.5252,189926450.3237,200410931.05600002,-0.001499,0.001637,0.000136,-0.002234,-0.003359,-0.008575,870116000.0,0.009430372793963056,-0.021341768002566673
112,112,ALNY,2018-08-11,CS,11646762616.0,361709844.2067,96570090.54,95872541.0794,-0.011413,-0.002749,-0.01413,0.027343,-0.015561,-0.00556,1676400000.0,-0.4195633369372704,-0.07152836266820735
113,113,ABUS,2018-08-11,CS,1278294384.0,4630388.224,3609916.6378,1660470.7398,-0.005155,-0.005181,-0.010309,-0.041667,-0.01087,-0.027473,21861000.0,0.06404080302679373,-0.055152176392495186
114,114,FOLD,2018-08-13,CS,3987322258.0,55850522.2467,35165408.9654,30442009.1279,-0.088535,-0.002096,-0.090446,-0.02521,-0.009339,-0.029007,21340000000.0,-2.280138909662559,-2.715461823960867
115,115,VRTX,2018-08-15,CS,43985585274.0,157139621.797,128330920.473,172239312.646,-0.007914,0.006821,-0.001147,0.004478,-0.001715,0.00813,28824500000.0,0.04031450617068579,-0.1116958376105704
116,116,TXMD,2018-08-17,CS,2290365531.0,12678954.033,8826044.9256,12049018.938000001,-0.028829,0.001855,-0.027027,0.012963,-0.005484,0.020221,46544000.0,-1.154540239279445,-1.5393524682513917
117,117,AGIO,2018-08-21,CS,4130702532.0,20016957.853,9823361.900099998,14435076.0774,0.002504,-0.003944,-0.00145,0.006996,0.002228,-0.018572,394894000.0,0.13014545535237174,0.2023327365908324
118,118,MNK,2018-08-22,CS,,101098533.5795,67616249.5944,88526081.256,0.001993,0.002842,0.004841,0.022386,0.006098,-0.02259,1338228000.0,-0.5591649099381113,-0.5626089406668499
119,119,KALA,2018-08-24,CS,840368528.0,7997354.8062,5323135.0662,1911861.293,-0.005426,0.007015,0.00155,0.0,-0.004644,0.00311,-7341000000.0,-0.07296703002382157,-0.014949223050574303
120,120,MRK,2018-08-24,CS,174391169341.0,342170683.453,350362014.70049995,407174350.2759,0.00058,0.004345,0.004928,-0.005048,-0.002029,-0.003195,21340000000.0,0.14141091317393503,0.027904309976322667
121,121,REGN,2018-08-24,CS,40471663963.0,158552304.8844,327714707.10289997,256625164.1796,-0.005339,0.006271,0.000899,0.025747,0.004016,0.000128,2803492000.0,-0.35559673164356653,-0.10981730881198143
